PlayerName,Teams,Span,Matches,Innings,NotOuts,Runs,HighestScore,BattingAverage,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,BowlInnings,Overs,Maidens,RunsConceded,Wickets,BestBowlingInnings,BowlingAverage,Economy,BowlingStrikeRate,FourWickets,FiveWickets
A Ashish Reddy,"Deccan Chargers, Sunrisers Hyderabad",2012-2016,31,23,8,280,36*,18.66,193,145.07,0,0,0,17,14,20,43.4,0,396,18,3/25,22,9.06,14.5,0,0
A Badoni,Lucknow Super Giants,2022-2026,60,50,10,1038,74,25.95,752,138.03,0,7,3,82,40,7,5.5,0,49,4,2/4,12.25,8.4,8.7,0,0
A Chandila,Rajasthan Royals,2012-2013,12,2,2,4,4*,-,7,57.14,0,0,0,0,0,12,39.0,0,242,11,4/13,22,6.2,21.2,1,0
A Chopra,Kolkata Knight Riders,2008-2009,7,6,0,53,24,8.83,71,74.64,0,0,0,7,0,-,-,-,-,-,-,-,-,-,-,-
A Choudhary,Royal Challengers Bangalore,2017-2017,5,3,2,25,15*,25,20,125,0,0,0,1,1,5,16.5,2,144,5,2/17,28.8,8.55,20.2,0,0
A Dananjaya,Mumbai Indians,2018-2018,1,1,1,4,4*,-,5,80,0,0,0,0,0,1,4.0,0,47,0,-,-,11.75,-,0,0
A Flintoff,Chennai Super Kings,2009-2009,3,3,1,62,24,31,53,116.98,0,0,0,5,2,3,11.0,0,105,2,1/11,52.5,9.54,33,0,0
A Kamboj,"Chennai Super Kings, Mumbai Indians",2024-2026,15,8,5,42,19*,14,36,116.66,0,0,1,4,1,15,46.1,0,443,18,3/13,24.61,9.59,15.3,0,0
A Kumble,Royal Challengers Bangalore,2008-2010,42,17,14,35,8,11.66,47,74.46,0,0,0,3,0,42,160.5,1,1058,45,5/5,23.51,6.57,21.4,2,1
A Madhwal,"Mumbai Indians, Rajasthan Royals",2023-2025,17,2,2,8,4*,-,14,57.14,0,0,0,0,0,17,58.4,0,590,23,5/5,25.65,10.05,15.3,1,1
A Manohar,"Gujarat Titans, Sunrisers Hyderabad",2022-2025,27,20,1,292,43,15.36,235,124.25,0,0,2,23,14,-,-,-,-,-,-,-,-,-,-,-
A Mhatre,Chennai Super Kings,2025-2026,11,11,0,373,94,33.9,210,177.61,0,3,2,40,20,-,-,-,-,-,-,-,-,-,-,-
A Mishra,"Deccan Chargers, Delhi Capitals, Delhi Daredevils, Lucknow Super Giants, Sunrisers Hyderabad",2008-2024,162,57,25,381,31,11.9,419,90.93,0,0,10,31,5,162,561.5,6,4145,174,5/17,23.82,7.37,19.3,4,1
A Mithun,Royal Challengers Bangalore,2009-2013,16,8,3,34,11,6.8,26,130.76,0,0,1,4,1,16,48.0,0,472,7,2/37,67.42,9.83,41.1,0,0
