season,player_name,role,base_price_lakhs,sold,sold_price_lakhs,team_name
2009,Mukesh Kumar,Bowler,75,No,,
2009,HV Patel,Bowler,50,Yes,115,Delhi Capitals
2009,WG Jacks,Wicketkeeper,20,Yes,155,Royal Challengers Bangalore
2009,NJ Rimmington,Wicketkeeper,75,Yes,470,Royal Challengers Bangalore
2009,RR Rossouw,Bowler,30,Yes,130,Mumbai Indians
2009,S Vidyut,Bowler,200,Yes,270,Punjab Kings
2009,Sandeep Sharma,Bowler,200,No,,
2009,M Markande,Bowler,150,Yes,810,Deccan Chargers
2009,KP Appanna,Bowler,20,Yes,100,Royal Challengers Bangalore
2009,AA Kulkarni,Wicketkeeper,75,No,,
2009,PA Patel,Batter,30,Yes,195,Rajasthan Royals
2009,KH Devdhar,Batter,50,Yes,205,Rajasthan Royals
2009,DJ Thornely,Wicketkeeper,150,Yes,215,Delhi Capitals
2009,P Negi,Bowler,30,Yes,85,Kolkata Knight Riders
2009,FY Fazal,Wicketkeeper,30,Yes,145,Royal Challengers Bangalore
2009,L Balaji,Bowler,40,Yes,235,Mumbai Indians
2009,IK Pathan,All-rounder,200,Yes,785,Delhi Capitals
2009,KS Bharat,Bowler,75,Yes,200,Deccan Chargers
2009,JDP Oram,Bowler,75,Yes,360,Kolkata Knight Riders
2009,S Kaul,Bowler,40,No,,
2009,TA Boult,Bowler,30,Yes,95,Mumbai Indians
2009,JC Archer,Bowler,75,Yes,435,Deccan Chargers
2009,RJ Peterson,Batter,150,Yes,670,Delhi Capitals
2009,A Manohar,Wicketkeeper,30,No,,
2009,PWA Mulder,All-rounder,100,Yes,340,Delhi Capitals
2009,DP Nannes,Bowler,20,Yes,125,Delhi Capitals
2009,Anirudh Singh,Batter,40,Yes,165,Deccan Chargers
2009,HR Shokeen,Wicketkeeper,75,No,,
2009,UM Patel,Bowler,150,No,,
2009,MG Johnson,Bowler,200,Yes,650,Punjab Kings
2009,P Nissanka,Batter,30,Yes,175,Royal Challengers Bangalore
2009,RJ Harris,Bowler,75,No,,
2009,Y Prithvi Raj,Wicketkeeper,20,Yes,55,Deccan Chargers
2009,HM Amla,All-rounder,30,No,,
