season,team_name,matches_played,wins,losses,no_result,points,nrr,qualified,champion
2008,Mumbai Indians,14,7,7,0,14,-0.09,1,0
2008,Chennai Super Kings,16,9,7,0,18,-1.093,1,0
2008,Royal Challengers Bangalore,14,4,10,0,8,1.037,1,0
2008,Kolkata Knight Riders,13,6,7,0,12,-0.141,1,0
2008,Delhi Capitals,14,7,7,0,14,0.854,0,0
2008,Punjab Kings,15,10,5,0,20,0.7,0,0
2008,Rajasthan Royals,16,13,3,0,26,1.226,1,1
2008,Deccan Chargers,14,11,3,0,22,-1.453,0,0
2009,Mumbai Indians,13,5,8,0,10,-1.101,1,0
2009,Chennai Super Kings,14,8,6,0,16,-0.828,1,0
2009,Royal Challengers Bangalore,16,9,7,0,18,0.493,1,0
2009,Kolkata Knight Riders,13,3,9,1,7,-0.154,1,0
2009,Delhi Capitals,15,10,5,0,20,1.02,0,0
2009,Punjab Kings,14,7,7,0,14,1.485,0,0
2009,Rajasthan Royals,13,5,7,1,11,0.042,0,0
2009,Deccan Chargers,14,11,3,0,22,1.162,1,1
2010,Mumbai Indians,16,11,5,0,22,-0.46,1,0
2010,Chennai Super Kings,16,9,6,1,19,-0.846,1,1
2010,Royal Challengers Bangalore,16,8,8,0,16,-0.184,1,0
2010,Kolkata Knight Riders,14,7,7,0,14,0.851,1,0
2010,Delhi Capitals,14,7,7,0,14,-0.463,0,0
2010,Punjab Kings,14,3,10,1,7,0.98,0,0
2010,Rajasthan Royals,14,6,8,0,12,-0.644,0,0
2010,Deccan Chargers,14,5,9,0,10,-0.621,0,0
2011,Mumbai Indians,16,10,6,0,20,-0.894,1,0
2011,Chennai Super Kings,16,11,5,0,22,1.3,1,1
2011,Royal Challengers Bangalore,16,10,6,0,20,0.016,1,0
2011,Kolkata Knight Riders,15,8,7,0,16,-1.072,1,0
2011,Delhi Capitals,14,4,9,1,9,1.097,0,0
2011,Punjab Kings,14,7,7,0,14,0.647,0,0
2011,Rajasthan Royals,13,6,7,0,12,1.23,0,0
2011,Deccan Chargers,14,4,10,0,8,1.477,0,0
2011,Kochi Tuskers Kerala,14,6,8,0,12,-1.173,0,0
2011,Pune Warriors,14,4,9,1,9,-0.73,0,0
2012,Mumbai Indians,17,10,7,0,20,1.458,1,0
2012,Chennai Super Kings,18,10,8,0,20,0.881,1,0
2012,Royal Challengers Bangalore,15,8,7,0,16,-0.92,1,0
2012,Kolkata Knight Riders,17,12,5,0,24,0.027,1,1
2012,Delhi Capitals,18,11,7,0,22,-0.962,0,0
2012,Punjab Kings,16,8,8,0,16,-0.402,0,0
2012,Rajasthan Royals,16,7,9,0,14,-0.219,0,0
2012,Deccan Chargers,14,6,8,0,12,-0.706,0,0
2012,Pune Warriors,16,4,12,0,8,-0.2,0,0
2013,Mumbai Indians,19,13,6,0,26,-1.426,1,1
2013,Chennai Super Kings,18,12,6,0,24,0.062,1,0
2013,Royal Challengers Bangalore,16,8,6,2,18,0.411,1,0
2013,Kolkata Knight Riders,16,6,10,0,12,-1.243,1,0
2013,Delhi Capitals,16,3,12,1,7,0.798,0,0
2013,Punjab Kings,16,8,8,0,16,0.634,0,0
2013,Rajasthan Royals,18,11,7,0,22,-0.413,0,0
2013,Sunrisers Hyderabad,17,9,7,1,19,0.704,0,0
2013,Pune Warriors,16,4,12,0,8,1.49,0,0
2014,Mumbai Indians,15,7,8,0,14,-1.167,1,0
2014,Chennai Super Kings,16,10,6,0,20,0.73,1,0
2014,Royal Challengers Bangalore,14,5,9,0,10,1.151,1,0
2014,Kolkata Knight Riders,16,11,4,1,23,-0.864,1,1
2014,Delhi Capitals,14,2,12,0,4,-0.018,0,0
2014,Punjab Kings,17,12,5,0,24,-0.19,0,0
2014,Rajasthan Royals,14,6,7,1,13,1.346,0,0
2014,Sunrisers Hyderabad,14,6,8,0,12,-0.753,0,0
2015,Mumbai Indians,16,10,6,0,20,-0.205,1,1
2015,Chennai Super Kings,17,10,7,0,20,-0.567,1,0
2015,Royal Challengers Bangalore,16,8,6,2,18,1.289,1,0
2015,Kolkata Knight Riders,13,7,6,0,14,-0.161,1,0
2015,Delhi Capitals,14,5,8,1,11,0.499,0,0
2015,Punjab Kings,14,2,11,1,5,-0.342,0,0
2015,Rajasthan Royals,14,7,5,2,16,0.294,0,0
2015,Sunrisers Hyderabad,14,7,7,0,14,1.1,0,0
2016,Mumbai Indians,14,7,7,0,14,1.413,1,0
2016,Rising Pune Supergiant,14,5,9,0,10,-0.202,1,0
2016,Royal Challengers Bangalore,16,9,7,0,18,-1.264,1,0
2016,Kolkata Knight Riders,15,8,7,0,16,0.834,1,0
2016,Delhi Capitals,14,7,7,0,14,-0.726,0,0
2016,Punjab Kings,14,4,10,0,8,-0.693,0,0
2016,Gujarat Lions,16,9,7,0,18,-0.34,0,0
2016,Sunrisers Hyderabad,17,11,6,0,22,0.396,1,1
2017,Mumbai Indians,17,11,5,1,23,-0.667,1,1
2017,Rising Pune Supergiant,16,10,6,0,20,0.76,1,0
2017,Royal Challengers Bangalore,13,3,10,0,6,-0.708,1,0
2017,Kolkata Knight Riders,16,9,7,0,18,-0.149,1,0
2017,Delhi Capitals,14,6,8,0,12,-1.189,0,0
