season,player_name,team_name,matches,innings,runs,batting_avg,strike_rate,fours,sixes,fifties,hundreds,wickets,economy,bowling_avg
2012,A Ashish Reddy,Deccan Chargers,5,4,44,19.45,126.16,2,3,0,0,1,9.3,25.64
2013,A Ashish Reddy,Sunrisers Hyderabad,8,6,66,13.07,148.04,4,2,1,0,3,9.69,22.0
2014,A Ashish Reddy,Sunrisers Hyderabad,5,4,86,25.55,147.47,4,3,0,0,1,9.63,26.06
2015,A Ashish Reddy,Sunrisers Hyderabad,9,7,41,14.94,152.9,5,2,0,0,6,9.68,19.47
2016,A Ashish Reddy,Sunrisers Hyderabad,4,3,28,21.62,159.45,2,3,0,0,5,9.96,25.33
2022,A Badoni,Lucknow Super Giants,16,13,241,35.91,146.63,12,12,1,0,1,8.67,11.38
2023,A Badoni,Lucknow Super Giants,16,13,235,15.66,117.72,16,7,0,0,0,8.49,13.21
2024,A Badoni,Lucknow Super Giants,12,10,305,32.51,135.76,18,7,4,0,0,9.19,11.64
2025,A Badoni,Lucknow Super Giants,7,6,175,19.58,117.71,20,6,2,0,1,8.83,13.13
2026,A Badoni,Lucknow Super Giants,9,8,327,35.65,118.85,8,12,3,0,1,8.74,12.77
2012,A Chandila,Rajasthan Royals,6,1,1,15.1,61.23,0,0,0,0,7,6.33,19.14
2013,A Chandila,Rajasthan Royals,8,1,3,23.66,53.27,0,0,0,0,8,5.61,26.13
2008,A Chopra,Kolkata Knight Riders,2,2,24,10.05,78.0,3,0,0,0,0,8.2,34.13
2009,A Chopra,Kolkata Knight Riders,4,3,12,10.39,64.5,3,0,0,0,0,8.56,27.79
2017,A Choudhary,Royal Challengers Bangalore,7,4,17,28.79,142.17,1,1,0,0,8,8.03,26.83
2018,A Dananjaya,Mumbai Indians,1,1,5,26.96,88.17,0,0,0,0,0,11.69,35.51
2009,A Flintoff,Chennai Super Kings,2,2,69,29.48,102.79,7,2,1,0,2,8.82,62.47
2024,A Kamboj,Chennai Super Kings,6,3,7,17.39,101.08,1,0,0,0,7,9.46,20.69
2025,A Kamboj,Mumbai Indians,6,3,13,18.08,126.72,1,0,0,0,7,9.5,24.26
2026,A Kamboj,Mumbai Indians,6,3,6,14.19,119.73,1,0,0,0,3,8.65,26.71
2008,A Kumble,Royal Challengers Bangalore,14,6,10,11.49,77.16,1,0,0,0,8,6.09,19.22
2009,A Kumble,Royal Challengers Bangalore,12,5,13,12.04,66.54,1,0,0,0,14,6.71,21.55
2010,A Kumble,Royal Challengers Bangalore,10,4,16,12.21,64.51,1,0,0,0,12,7.2,24.83
2023,A Madhwal,Mumbai Indians,7,1,3,23.08,63.17,0,0,0,0,8,9.72,23.59
2024,A Madhwal,Rajasthan Royals,6,1,4,22.22,60.45,0,0,0,0,7,9.47,25.45
2025,A Madhwal,Rajasthan Royals,5,1,4,12.11,48.74,0,0,0,0,6,10.16,21.98
2022,A Manohar,Gujarat Titans,10,7,47,12.71,113.77,4,2,0,0,0,7.95,34.17
2023,A Manohar,Sunrisers Hyderabad,4,3,102,10.9,130.02,5,3,1,0,0,8.23,26.52
2024,A Manohar,Sunrisers Hyderabad,9,7,84,14.55,132.11,4,4,1,0,0,9.15,25.57
2025,A Manohar,Sunrisers Hyderabad,6,4,85,20.53,134.06,4,3,1,0,0,9.1,27.53
2025,A Mhatre,Chennai Super Kings,3,3,188,36.18,177.02,22,7,1,0,0,8.98,33.49
2026,A Mhatre,Chennai Super Kings,5,5,191,25.19,188.93,19,11,2,0,0,8.47,35.47
2008,A Mishra,Deccan Chargers,7,2,33,11.44,83.68,1,0,0,0,6,7.26,22.65
2009,A Mishra,Delhi Capitals,12,4,17,12.08,83.57,2,0,0,0,4,7.39,22.26
2010,A Mishra,Delhi Daredevils,7,2,10,11.34,84.54,2,0,0,0,4,7.96,21.86
2011,A Mishra,Lucknow Super Giants,7,2,12,10.57,92.19,2,0,0,0,8,7.63,21.44
2012,A Mishra,Sunrisers Hyderabad,11,4,13,15.28,96.83,1,0,0,0,11,7.02,26.39
2013,A Mishra,Sunrisers Hyderabad,13,5,29,7.25,95.13,1,0,0,0,17,8.04,27.3
2014,A Mishra,Sunrisers Hyderabad,10,4,24,11.6,99.51,2,0,0,0,8,6.76,27.11
2015,A Mishra,Sunrisers Hyderabad,13,5,10,8.46,101.13,2,0,0,0,7,7.72,23.82
2016,A Mishra,Sunrisers Hyderabad,12,4,29,13.71,85.46,1,0,0,0,11,7.47,19.36
2017,A Mishra,Sunrisers Hyderabad,12,4,34,12.6,87.95,2,0,0,0,9,8.03,19.66
2018,A Mishra,Sunrisers Hyderabad,11,4,17,8.77,95.7,1,0,0,0,6,7.85,24.8
2019,A Mishra,Sunrisers Hyderabad,7,2,17,12.13,89.69,3,0,0,0,8,6.65,22.17
2020/21,A Mishra,Sunrisers Hyderabad,9,3,29,10.84,101.94,2,0,0,0,6,7.92,22.01
2021,A Mishra,Sunrisers Hyderabad,8,3,14,13.96,89.81,2,0,0,0,6,8.09,23.3
2022,A Mishra,Sunrisers Hyderabad,10,4,22,11.54,78.36,2,0,0,0,4,7.59,27.81
2023,A Mishra,Sunrisers Hyderabad,13,5,32,11.09,82.19,2,0,0,0,12,7.27,22.72
2024,A Mishra,Sunrisers Hyderabad,5,2,33,8.64,101.37,2,0,0,0,11,7.62,19.69
2009,A Mithun,Royal Challengers Bangalore,4,2,4,6.09,140.78,1,0,0,0,1,10.38,65.0
2010,A Mithun,Royal Challengers Bangalore,4,2,8,6.59,124.63,1,0,0,0,1,9.23,54.95
2011,A Mithun,Royal Challengers Bangalore,3,2,6,4.53,136.92,1,0,0,0,2,9.71,66.63
2012,A Mithun,Royal Challengers Bangalore,2,1,4,8.11,117.75,1,0,0,0,2,8.87,61.31
2013,A Mithun,Royal Challengers Bangalore,3,2,6,4.34,136.05,0,0,0,0,1,10.15,71.74
2008,A Mukund,Chennai Super Kings,1,1,3,7.23,79.88,0,0,0,0,0,7.99,24.19
2009,A Mukund,Royal Challengers Bangalore,1,1,5,6.43,95.05,0,0,0,0,0,8.88,24.53
2010,A Mukund,Royal Challengers Bangalore,1,1,5,8.7,84.49,0,0,0,0,0,7.83,27.88
2011,A Mukund,Royal Challengers Bangalore,1,1,4,7.82,89.57,0,0,0,0,0,9.16,28.93
2012,A Mukund,Royal Challengers Bangalore,1,1,5,10.03,79.93,0,0,0,0,0,8.2,31.57
2013,A Mukund,Royal Challengers Bangalore,1,1,4,10.93,98.74,0,0,0,0,0,7.76,24.21
2008,A Nehra,Chennai Super Kings,9,2,5,3.57,56.62,0,0,0,0,14,7.25,21.05
2009,A Nehra,Delhi Daredevils,9,2,3,5.27,68.94,0,0,0,0,7,8.19,28.13
2010,A Nehra,Mumbai Indians,11,3,2,7.22,64.43,0,0,0,0,15,8.23,20.98
2011,A Nehra,Pune Warriors,12,3,7,7.26,70.01,0,0,0,0,6,8.42,23.73
2012,A Nehra,Sunrisers Hyderabad,13,3,2,8.15,74.81,0,0,0,0,5,7.33,23.99
2013,A Nehra,Sunrisers Hyderabad,9,2,2,4.43,64.61,0,0,0,0,12,7.53,24.25
2014,A Nehra,Sunrisers Hyderabad,13,3,3,5.28,65.54,0,0,0,0,9,8.01,22.9
2015,A Nehra,Sunrisers Hyderabad,8,2,2,7.75,62.16,0,0,0,0,11,7.92,20.48
2016,A Nehra,Sunrisers Hyderabad,9,2,3,6.86,60.08,0,0,0,0,17,7.06,26.93
2017,A Nehra,Sunrisers Hyderabad,8,2,5,5.31,62.31,0,0,0,0,18,7.17,27.15
2008,A Nel,Mumbai Indians,1,1,0,0,129.06,0,0,0,0,1,10.76,32.67
2020/21,A Nortje,Delhi Capitals,5,2,7,9.36,93.93,1,0,0,0,11,8.22,29.64
2021,A Nortje,Kolkata Knight Riders,5,2,8,7.91,88.05,1,0,0,0,4,8.34,30.15
2022,A Nortje,Lucknow Super Giants,10,4,10,5.13,95.85,1,0,0,0,11,9.08,28.17
2023,A Nortje,Lucknow Super Giants,10,4,10,4.81,100.13,1,0,0,0,12,9.65,25.23
2024,A Nortje,Lucknow Super Giants,5,2,7,4.74,106.05,1,0,0,0,8,8.93,25.45
2025,A Nortje,Lucknow Super Giants,7,3,7,4.82,99.97,1,0,0,0,5,8.54,30.58
2026,A Nortje,Lucknow Super Giants,7,3,10,4.81,102.01,0,0,0,0,4,8.33,23.63
2024,A Raghuvanshi,Kolkata Knight Riders,11,9,85,26.43,168.03,15,9,1,0,0,8.99,24.5
2025,A Raghuvanshi,Kolkata Knight Riders,13,11,148,32.15,159.23,18,6,1,0,0,8.22,32.18
2026,A Raghuvanshi,Kolkata Knight Riders,10,8,323,42.23,161.42,28,10,0,0,0,9.13,28.82
2009,A Singh,Rajasthan Royals,8,2,1,0.4,19.71,0,0,0,0,9,8.44,22.27
2010,A Singh,Rajasthan Royals,5,1,1,0.65,22.82,0,0,0,0,9,8.14,19.78
2011,A Singh,Rajasthan Royals,8,2,1,0.49,20.95,0,0,0,0,9,7.23,21.12
2012,A Singh,Rajasthan Royals,7,2,1,0.31,19.99,0,0,0,0,3,8.38,26.54
