venue,city,capacity,pitch_type,avg_first_innings_score,bat_first_win_pct,dew_factor,boundary_size_m,total_matches_hosted
Arun Jaitley Stadium,Delhi,41842,Spin Friendly,192,53.8,0.14,69,13
"Arun Jaitley Stadium, Delhi",India,28057,Balanced,162,50.0,0.69,61,26
Barabati Stadium,India,25124,Spin Friendly,189,57.1,0.83,73,7
"Barsapara Cricket Stadium, Guwahati",India,35575,Seam Friendly,169,50.0,0.82,72,8
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",India,40988,Spin Friendly,172,41.7,0.43,63,24
Brabourne Stadium,Mumbai,20000,Batting Paradise,188,60.0,0.11,60,10
"Brabourne Stadium, Mumbai",India,44071,Spin Friendly,146,47.1,0.25,76,17
Buffalo Park,India,16129,Seam Friendly,149,66.7,0.29,65,3
De Beers Diamond Oval,India,36306,Slow & Low,189,33.3,0.65,67,3
Dr DY Patil Sports Academy,Navi Mumbai,55000,Balanced,161,41.2,0.8,66,17
"Dr DY Patil Sports Academy, Mumbai",India,17910,Batting Paradise,163,50.0,0.37,63,20
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,27000,Slow & Low,181,46.2,0.9,73,13
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",India,18307,Batting Paradise,147,50.0,0.12,71,4
Dubai International Cricket Stadium,Dubai,25000,Seam Friendly,155,48.8,0.23,68,43
Eden Gardens,Kolkata,66000,Balanced,158,39.0,0.87,76,77
"Eden Gardens, Kolkata",India,18676,Balanced,160,52.0,0.42,72,25
Feroz Shah Kotla,India,37783,Spin Friendly,170,45.8,0.64,61,59
Green Park,India,39283,Seam Friendly,184,50.0,0.72,74,4
Himachal Pradesh Cricket Association Stadium,Dharamsala,23000,Batting Paradise,148,55.6,0.51,67,9
"Himachal Pradesh Cricket Association Stadium, Dharamsala",India,27620,Seam Friendly,174,80.0,0.14,68,5
Holkar Cricket Stadium,India,35950,Batting Paradise,155,11.1,0.18,66,9
JSCA International Stadium Complex,India,48197,Spin Friendly,159,28.6,0.67,69,7
Kingsmead,India,26597,Slow & Low,160,53.3,0.28,72,15
M Chinnaswamy Stadium,Bangalore,35000,Batting Paradise,195,41.9,0.15,74,62
"M Chinnaswamy Stadium, Bengaluru",India,46926,Batting Paradise,142,45.8,0.15,73,24
M.Chinnaswamy Stadium,India,37675,Spin Friendly,176,50.0,0.73,75,14
MA Chidambaram Stadium,Chennai,38000,Batting Paradise,181,44.4,0.6,64,9
"MA Chidambaram Stadium, Chepauk",India,46489,Seam Friendly,159,63.8,0.35,60,47
"MA Chidambaram Stadium, Chepauk, Chennai",India,22590,Slow & Low,163,45.9,0.45,72,37
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",India,40180,Seam Friendly,195,50.0,0.79,63,10
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",India,27246,Slow & Low,170,40.0,0.56,62,5
Maharashtra Cricket Association Stadium,Pune,37406,Slow & Low,155,36.4,0.44,67,22
"Maharashtra Cricket Association Stadium, Pune",India,16465,Slow & Low,152,76.9,0.49,67,13
"Narendra Modi Stadium, Ahmedabad",India,22397,Spin Friendly,166,48.6,0.56,64,37
Nehru Stadium,India,21189,Slow & Low,181,60.0,0.65,63,5
New Wanderers Stadium,India,40866,Slow & Low,191,37.5,0.45,68,8
Newlands,India,40037,Spin Friendly,191,66.7,0.63,65,6
OUTsurance Oval,India,25038,Spin Friendly,140,50.0,0.72,76,2
Punjab Cricket Association IS Bindra Stadium,Mohali,26950,Spin Friendly,155,40.0,0.53,74,10
"Punjab Cricket Association IS Bindra Stadium, Mohali",India,31643,Spin Friendly,193,45.5,0.59,61,11
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",India,30237,Spin Friendly,193,60.0,0.88,67,5
"Punjab Cricket Association Stadium, Mohali",India,27217,Seam Friendly,191,42.9,0.68,65,35
Rajiv Gandhi International Stadium,Hyderabad,55000,Slow & Low,193,53.3,0.73,69,15
"Rajiv Gandhi International Stadium, Uppal",India,27314,Balanced,145,39.6,0.85,76,48
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",India,40304,Seam Friendly,147,50.0,0.17,75,22
"Sardar Patel Stadium, Motera",India,15443,Balanced,171,54.5,0.33,65,11
Saurashtra Cricket Association Stadium,India,29337,Seam Friendly,156,33.3,0.15,69,9
Sawai Mansingh Stadium,Jaipur,30000,Seam Friendly,173,31.9,0.6,62,47
"Sawai Mansingh Stadium, Jaipur",India,15377,Batting Paradise,192,42.1,0.73,60,19
Shaheed Veer Narayan Singh International Stadium,India,20913,Balanced,192,33.3,0.29,65,6
Sharjah Cricket Stadium,India,16207,Spin Friendly,155,35.7,0.83,62,28
Sheikh Zayed Stadium,India,25594,Batting Paradise,189,40.7,0.38,62,27
St George's Park,India,47245,Balanced,166,42.9,0.31,67,7
Subrata Roy Sahara Stadium,India,33939,Spin Friendly,159,62.5,0.4,76,16
SuperSport Park,India,42936,Slow & Low,180,33.3,0.56,63,12
"Vidarbha Cricket Association Stadium, Jamtha",India,27849,Balanced,159,66.7,0.83,70,3
Wankhede Stadium,Mumbai,33000,Batting Paradise,187,48.6,0.84,63,72
"Wankhede Stadium, Mumbai",India,22779,Slow & Low,154,40.4,0.25,60,57
"Zayed Cricket Stadium, Abu Dhabi",India,49221,Balanced,176,37.5,0.77,72,8
