feature,random_forest_importance,gradient_boosting_importance,catboost_importance,lightgbm_importance,xgboost_importance,logistic_regression_coef
experience_diff,0.15764715145911892,0.16342412336716844,15.922000334473505,200,0.111686,-0.06925018586647205
team2_venue_winrate_shrunk,0.09700575191097675,0.11959968520866089,13.230882862411205,93,0.103950016,-0.03464570678587616
team1_venue_winrate_shrunk,0.08567357483297156,0.12280796917552425,11.142156180288696,95,0.109296665,0.03464570678587621
elo_diff_x_venue_advantage,0.11448410713945917,0.06771352606166472,10.4393579297721,121,0.08270541,-0.013853682064143783
h2h_team1_winrate_shrunk,0.08593345228268065,0.05221126242946051,9.315980401518997,54,0.09875739,-0.020548284196173203
momentum_diff,0.1255240915130846,0.13370954780045957,8.762972321158433,109,0.070674986,0.16938474613131732
strength_diff,0.1108203032995253,0.1416575376491907,8.757217826524723,171,0.109744005,0.0026562327307768103
elo_diff,0.14578121989970114,0.14576669061659747,8.626934942757961,170,0.06649034,0.1576591559647882
form_diff,0.04122348626200548,0.0337632515782807,5.379330693892453,37,0.122611836,-0.23116074649245094
toss_won_by_team1,0.02197445221131458,0.015821267702081733,5.036462380597608,17,0.056848563,0.08429110968877483
toss_decision_bat,0.013932409189162057,0.0007553790202977883,2.3273685714262706,0,0.0672347,2.464876149320157e-16
key_players_missing_diff,0.0,0.002769759390613331,1.0593355551780625,0,0.0,-0.04302016378064639
