feature,importance_mean,importance_std
req_runs_per_wicket,0.042066249710447035,0.0030925771171236723
required_run_rate,0.028075052119527454,0.002662980377706733
chase_pressure_index,0.020152883947185528,0.0038954501755066725
target,0.018716701413018268,0.0021848183687841554
rrr_minus_crr,0.00945100764419735,0.0011002401748471636
wickets_in_hand,0.004215890664813493,0.0014384224874922388
runs_last_3_overs,0.000509613157285127,0.000398532558121049
over_completed,0.000509613157285127,0.0004946526871453247
wickets_last_3_overs,0.0001389854065322993,0.0004989728799753948
balls_remaining,-4.632846884411457e-05,0.0007236738175498098
is_powerplay,-4.632846884413677e-05,0.00017334525766847208
current_score,-9.265693768822914e-05,0.0010625290656640764
is_death_overs,-0.000694927032661563,0.0008790208923331086
runs_needed,-0.0007875839703497922,0.0008741238019047322
current_run_rate,-0.0014825110030113775,0.0014097868014549843
pre_match_elo_diff,-0.00458651841556641,0.0010904426496122414
