PlayerName,Teams,Span,Matches,Innings,NotOuts,Runs,HighestScore,BattingAverage,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,BowlInnings,Overs,Maidens,RunsConceded,Wickets,BestBowlingInnings,BowlingAverage,Economy,BowlingStrikeRate,FourWickets,FiveWickets,HighestScoreNotOut,HighestScoreRuns,player_name,bat_style,bowl_style,field_pos,player_full_name,bat_avg_pctile,bat_sr_pctile,bat_vol_pctile,batting_impact_score,bowl_econ_pctile,bowl_avg_pctile,bowl_wkt_pctile,bowling_impact_score,allrounder_index
A Ashish Reddy,"Deccan Chargers, Sunrisers Hyderabad",2012-2016,31,23.0,8.0,280.0,36*,18.66,193.0,145.07,0.0,0.0,0.0,17.0,14.0,20.0,43.4,0.0,396.0,18.0,3/25,22.0,9.06,14.5,0.0,0.0,True,36.0,A Ashish Reddy,Right hand Bat,Right arm Medium, ,Ammana Ashish Reddy,0.37413644214162345,0.5648563618546599,0.030687351375835125,35.50261413497392,0.4964788732394366,0.9152339406380977,0.07623318385650224,51.69694400140876,35.50261413497392
A Badoni,Lucknow Super Giants,2022-2026,60,50.0,10.0,1038.0,74,25.95,752.0,138.03,0.0,7.0,3.0,82.0,40.0,7.0,5.5,0.0,49.0,4.0,2/4,12.25,8.4,8.7,0.0,0.0,False,74.0,A Badoni,Right hand Bat,Right arm Offbreak, ,Ayush Badoni,0.5315198618307426,0.5285471143431844,0.11652134526101235,42.67297710676646,,,,,
A Chandila,Rajasthan Royals,2012-2013,12,2.0,2.0,4.0,4*,,7.0,57.14,0.0,0.0,0.0,0.0,0.0,12.0,39.0,0.0,242.0,11.0,4/13,22.0,6.2,21.2,1.0,0.0,True,4.0,A Chandila,Right hand Bat,Right arm Offbreak, ,Ajit  Chandila,,,,,1.0,0.9152339406380977,0.04484304932735426,68.37847940215404,
A Chopra,Kolkata Knight Riders,2008-2009,7,6.0,0.0,53.0,24,8.83,71.0,74.64,0.0,0.0,0.0,7.0,0.0,,,,,,-,,,,,,False,24.0,A Chopra,Right hand Bat,"Right arm Medium, Right arm Offbreak", ,Aakash Chopra,,,,,,,,,
A Choudhary,Royal Challengers Bangalore,2017-2017,5,3.0,2.0,25.0,15*,25.0,20.0,125.0,0.0,0.0,0.0,1.0,1.0,5.0,16.5,2.0,144.0,5.0,2/17,28.8,8.55,20.2,0.0,0.0,True,15.0,A Choudhary,Right hand Bat,Left arm Medium, ,Aniket Vinod Choudhary,,,,,,,,,
A Dananjaya,Mumbai Indians,2018-2018,1,1.0,1.0,4.0,4*,,5.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,47.0,0.0,-,,11.75,,0.0,0.0,True,4.0,A Dananjaya,Left hand Bat,"Right arm Offbreak, Legbreak", ,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,,,,,,,,,
A Flintoff,Chennai Super Kings,2009-2009,3,3.0,1.0,62.0,24,31.0,53.0,116.98,0.0,0.0,0.0,5.0,2.0,3.0,11.0,0.0,105.0,2.0,1/11,52.5,9.54,33.0,0.0,0.0,False,24.0,A Flintoff,Right hand Bat,Right arm Fast medium, ,Andrew Flintoff,,,,,,,,,
A Kamboj,"Chennai Super Kings, Mumbai Indians",2024-2026,15,8.0,5.0,42.0,19*,14.0,36.0,116.66,0.0,0.0,1.0,4.0,1.0,15.0,46.1,0.0,443.0,18.0,3/13,24.61,9.59,15.3,0.0,0.0,True,19.0,A Kamboj,Right hand Bat,Right arm Medium,,Anshul Kamboj,,,,,0.4031690140845071,0.8929090753571123,0.07623318385650224,47.64972864615174,
A Kumble,Royal Challengers Bangalore,2008-2010,42,17.0,14.0,35.0,8,11.66,47.0,74.46,0.0,0.0,0.0,3.0,0.0,42.0,160.5,1.0,1058.0,45.0,5/5,23.51,6.57,21.4,2.0,1.0,False,8.0,A Kumble,Right hand Bat,Legbreak Googly, ,Anil Kumble,0.22301381692573402,0.20068079839084016,0.0029441739327369493,16.01798496902719,0.9348591549295775,0.9023180224104012,0.19730941704035873,70.22048371811,16.01798496902719
A Madhwal,"Mumbai Indians, Rajasthan Royals",2023-2025,17,2.0,2.0,8.0,4*,,14.0,57.14,0.0,0.0,0.0,0.0,0.0,17.0,58.4,0.0,590.0,23.0,5/5,25.65,10.05,15.3,1.0,1.0,True,4.0,,,,,,,,,,0.32218309859154926,0.8840133435976392,0.09865470852017937,45.17651673222697,
